x	y
6.463	0.306
6.492	0.306
6.520	0.283
6.548	0.271
6.576	0.259
6.605	0.259
6.633	0.271
6.661	0.283
6.689	0.283
6.718	0.283
6.746	0.283
6.774	0.283
6.802	0.283
6.831	0.283
6.859	0.283
6.972	0.294
7.000	0.283
7.028	0.294
7.057	0.306
7.085	0.306
7.198	0.306
7.226	0.306
7.255	0.306
7.283	0.318
7.311	0.330
7.339	0.330
7.424	0.354
7.452	0.354
7.481	0.354
7.509	0.354
7.537	0.354
7.565	0.365
7.650	0.365
7.678	0.377
7.707	0.377
7.735	0.377
7.763	0.377
7.791	0.377
7.820	0.377
7.848	0.377
7.876	0.377
7.904	0.389
7.933	0.401
7.961	0.413
7.989	0.424
8.017	0.424
8.046	0.424
8.074	0.424
8.159	0.436
8.187	0.448
8.215	0.448
8.243	0.448
8.272	0.448
8.300	0.460
8.385	0.472
8.413	0.472
8.441	0.472
8.469	0.472
8.498	0.472
8.526	0.483
8.639	0.554
8.667	0.554
8.695	0.578
8.724	0.590
8.752	0.590
8.865	0.672
8.893	0.672
8.921	0.684
8.950	0.696
8.978	0.708
9.006	0.720
9.034	0.743
9.063	0.755
9.091	0.767
9.119	0.779
9.147	0.779
9.176	0.790
9.204	0.802
9.232	0.802
9.260	0.814
9.289	0.826
9.402	0.861
9.430	0.849
9.458	0.861
9.486	0.873
9.515	0.873
9.543	0.873
9.628	0.885
9.656	0.897
9.684	0.897
9.712	0.897
9.741	0.897
9.769	0.885
9.854	0.897
9.882	0.897
9.910	0.897
9.938	0.897
9.967	0.897
9.995	0.885
10.080	0.897
10.108	0.897
10.136	0.897
10.164	0.909
10.193	0.920
10.221	0.920
10.249	0.920
10.277	0.932
10.306	0.944
10.334	0.944
10.362	0.944
10.390	0.956
10.419	0.968
10.447	0.968
10.475	0.968
10.503	0.979
10.532	0.979
10.645	1.015
10.673	1.015
10.701	1.027
10.730	1.038
10.758	1.038
10.871	1.062
10.899	1.062
10.927	1.074
10.956	1.086
10.984	1.086
11.097	1.121
11.125	1.133
11.153	1.133
11.182	1.133
11.210	1.133
11.238	1.133
11.323	1.192
11.351	1.180
11.379	1.192
11.408	1.204
11.436	1.216
11.464	1.227
11.492	1.239
11.521	1.251
11.549	1.251
11.577	1.263
11.605	1.275
11.634	1.286
11.662	1.298
11.690	1.310
11.718	1.322
11.747	1.322
11.775	1.322
11.860	1.381
11.888	1.393
11.916	1.393
11.944	1.393
11.973	1.404
12.001	1.404
12.086	1.463
12.114	1.463
12.142	1.463
12.170	1.463
12.199	1.481
12.227	1.475
12.340	1.534
12.368	1.534
12.396	1.534
12.425	1.552
12.453	1.553
12.566	1.597
12.594	1.605
12.622	1.600
12.651	1.617
12.679	1.624
12.707	1.624
12.735	1.641
12.764	1.648
12.792	1.648
12.820	1.664
12.848	1.671
12.877	1.671
12.905	1.688
12.933	1.695
12.961	1.695
12.990	1.695
13.103	1.751
13.131	1.742
13.159	1.759
13.187	1.766
13.216	1.766
13.244	1.770
13.329	1.818
13.357	1.822
13.385	1.830
13.413	1.837
13.442	1.837
13.470	1.841
13.555	1.889
13.583	1.893
13.611	1.884
13.639	1.900
13.668	1.907
13.696	1.921
13.781	1.983
13.809	1.988
13.837	1.995
13.865	2.018
13.894	2.043
13.922	2.049
13.950	2.066
13.979	2.089
14.007	2.097
14.035	2.111
14.063	2.137
14.092	2.144
14.120	2.160
14.148	2.167
14.176	2.167
14.205	2.167
14.233	2.167
14.346	2.200
14.374	2.191
14.402	2.191
14.431	2.191
14.459	2.204
14.572	2.234
14.600	2.219
14.628	2.231
14.657	2.238
14.685	2.238
14.713	2.243
14.798	2.329
14.826	2.314
14.854	2.325
14.883	2.349
14.911	2.356
14.939	2.361
15.024	2.447
15.052	2.455
15.080	2.451
15.109	2.467
15.137	2.474
15.165	2.491
15.193	2.514
15.222	2.521
15.250	2.538
15.278	2.545
15.306	2.562
15.335	2.569
15.363	2.585
15.391	2.592
15.419	2.609
15.448	2.616
15.476	2.621
15.561	2.668
15.589	2.673
15.617	2.663
15.645	2.680
15.674	2.687
15.702	2.676
15.787	2.730
15.815	2.739
15.843	2.734
15.871	2.734
15.900	2.734
15.928	2.747
16.041	2.788
16.069	2.781
16.097	2.781
16.126	2.798
16.154	2.805
16.267	2.848
16.295	2.833
16.323	2.845
16.352	2.852
16.380	2.852
16.408	2.852
16.436	2.869
16.465	2.876
16.493	2.876
16.521	2.892
16.549	2.899
16.578	2.899
16.606	2.899
16.634	2.916
16.662	2.923
16.691	2.923
16.719	2.928
16.804	2.966
16.832	2.975
16.860	2.970
16.888	2.987
16.917	2.994
16.945	2.999
17.030	3.061
17.058	3.046
17.086	3.058
17.114	3.065
17.143	3.065
17.171	3.078
17.256	3.140
17.284	3.145
17.312	3.136
17.340	3.136
17.369	3.152
17.397	3.149
17.510	3.191
17.538	3.183
17.567	3.199
17.595	3.206
17.623	3.206
17.651	3.206
17.680	3.223
17.708	3.230
17.736	3.246
17.764	3.270
17.793	3.294
17.821	3.317
17.849	3.324
