x	y
2.142	0.233
2.170	0.233
2.198	0.233
2.226	0.233
2.255	0.233
2.283	0.221
2.424	0.221
2.452	0.209
2.481	0.209
2.509	0.221
2.537	0.233
2.565	0.221
2.735	0.245
2.763	0.257
2.791	0.257
2.820	0.257
2.848	0.257
2.876	0.257
3.046	0.280
3.074	0.280
3.102	0.292
3.130	0.304
3.159	0.316
3.272	0.363
3.300	0.363
3.328	0.375
3.356	0.375
3.385	0.387
3.413	0.398
3.441	0.398
3.469	0.375
3.498	0.351
3.526	0.351
3.554	0.351
3.583	0.363
3.780	0.434
3.809	0.434
3.837	0.434
3.865	0.457
4.006	0.481
4.035	0.493
4.063	0.493
4.091	0.493
4.119	0.493
4.148	0.493
4.176	0.505
4.345	0.540
4.374	0.540
4.402	0.540
4.430	0.540
4.458	0.540
4.487	0.540
4.628	0.623
4.656	0.635
4.684	0.647
4.713	0.671
4.741	0.682
4.769	0.682
4.910	0.788
4.939	0.800
4.967	0.799
4.995	0.812
5.023	0.823
5.052	0.835
5.221	0.942
5.249	0.941
5.278	0.953
5.306	0.964
5.334	0.977
5.362	0.976
5.504	1.060
5.532	1.059
5.560	1.059
5.588	1.071
5.617	1.082
5.645	1.082
5.814	1.201
5.843	1.201
5.871	1.213
5.899	1.224
5.927	1.237
5.956	1.248
6.012	1.260
6.125	1.354
6.153	1.354
6.182	1.366
6.210	1.378
6.238	1.389
6.436	1.485
6.464	1.497
6.492	1.508
6.521	1.521
6.549	1.531
6.747	1.698
6.775	1.710
6.803	1.733
6.831	1.757
6.860	1.767
6.973	1.981
7.001	1.899
7.029	1.891
7.058	1.902
7.086	1.913
7.114	1.926
7.142	1.927
7.171	1.981
7.199	1.981
7.227	1.981
7.255	1.981
7.284	1.981
7.312	2.042
7.340	2.049
7.368	2.061
7.397	2.074
7.425	2.088
7.453	2.089
7.623	2.253
7.651	2.253
7.679	2.263
7.707	2.276
7.736	2.299
7.764	2.301
7.933	2.466
7.962	2.476
7.990	2.488
8.018	2.502
8.046	2.523
8.075	2.527
8.244	2.678
8.272	2.689
8.301	2.701
8.329	2.725
8.357	2.735
8.385	2.739
8.555	2.903
8.583	2.900
8.611	2.913
8.640	2.937
8.668	2.948
8.696	2.960
8.866	3.127
8.894	3.138
8.922	3.149
8.950	3.173
8.979	3.184
9.007	3.188
9.176	3.375
9.205	3.386
9.233	3.408
9.261	3.432
9.289	3.437
9.318	3.435
9.459	3.638
9.487	3.648
9.515	3.669
9.544	3.693
9.572	3.698
9.600	3.697
9.685	3.964
9.713	3.964
9.741	3.890
9.770	3.898
9.798	3.911
9.826	3.930
9.854	3.941
9.883	3.954
9.911	3.960
9.939	3.964
9.967	3.964
9.996	4.100
10.024	4.141
10.052	4.155
10.080	4.177
10.109	4.198
10.137	4.206
10.165	4.201
10.250	4.393
10.278	4.415
10.306	4.425
10.335	4.437
10.363	4.442
10.504	4.641
10.533	4.651
10.561	4.663
10.589	4.685
10.617	4.697
10.646	4.709
10.674	4.713
10.815	4.921
10.843	4.931
10.872	4.943
10.900	4.963
10.928	4.968
11.041	5.169
11.069	5.180
11.098	5.201
11.126	5.214
11.154	5.224
11.267	5.440
11.295	5.440
11.324	5.461
11.352	5.464
11.380	5.464
11.465	5.665
11.493	5.675
11.521	5.698
11.550	5.710
11.578	5.722
11.606	5.724
11.691	5.913
11.719	5.926
11.747	5.936
11.776	5.957
11.804	5.979
11.832	5.984
11.860	5.995
11.889	5.995
11.917	6.181
11.945	6.189
11.973	6.200
12.002	6.212
12.030	6.230
12.058	6.241
12.143	6.406
12.171	6.405
12.199	6.417
12.228	6.441
12.256	6.458
12.284	6.465
12.369	6.657
12.397	6.661
12.425	6.672
12.454	6.689
12.482	6.709
12.510	6.723
12.538	6.727
12.595	6.916
12.623	6.921
12.651	6.932
12.680	6.949
12.708	6.969
12.736	6.984
12.821	7.186
12.849	7.193
12.877	7.209
12.906	7.225
12.934	7.232
12.990	7.434
13.019	7.449
13.047	7.469
13.075	7.487
13.103	7.555
13.132	7.691
13.160	7.703
13.188	7.724
13.216	7.747
13.245	8.003
13.273	7.947
13.301	7.953
13.329	7.966
13.358	7.980
13.386	7.991
13.414	8.175
13.442	8.200
13.471	8.217
13.499	8.229
13.527	8.237
13.555	8.450
13.584	8.459
13.612	8.470
13.640	8.489
13.668	8.509
13.697	8.509
13.725	8.710
13.753	8.718
13.782	8.730
13.810	8.743
13.838	8.763
13.866	8.769
