x	y
7.265	0.184
7.294	0.184
7.322	0.184
7.350	0.184
7.378	0.184
7.407	0.196
7.435	0.208
7.463	0.208
7.491	0.208
7.520	0.208
7.548	0.208
7.576	0.208
7.604	0.208
7.633	0.208
7.661	0.208
7.689	0.208
7.717	0.208
7.746	0.208
7.774	0.208
7.802	0.219
7.830	0.231
7.859	0.231
7.887	0.231
7.915	0.231
7.943	0.231
7.972	0.231
8.000	0.231
8.028	0.231
8.056	0.231
8.085	0.231
8.113	0.231
8.141	0.231
8.169	0.231
8.198	0.231
8.226	0.231
8.254	0.231
8.282	0.219
8.311	0.208
8.339	0.208
8.367	0.208
8.395	0.208
8.424	0.208
8.452	0.208
8.480	0.208
8.508	0.208
8.537	0.208
8.565	0.208
8.593	0.208
8.621	0.208
8.650	0.219
8.678	0.231
8.706	0.231
8.734	0.243
8.763	0.255
8.791	0.255
8.819	0.267
8.847	0.281
8.876	0.281
8.904	0.293
8.932	0.305
8.961	0.305
8.989	0.305
9.017	0.305
9.045	0.317
9.074	0.329
9.102	0.329
9.130	0.329
9.158	0.341
9.187	0.352
9.215	0.352
9.243	0.352
9.271	0.352
9.300	0.352
9.328	0.352
9.356	0.352
9.384	0.352
9.413	0.344
9.441	0.329
9.469	0.329
9.497	0.329
9.526	0.329
9.554	0.329
9.582	0.329
9.610	0.329
9.639	0.329
9.667	0.329
9.695	0.329
9.723	0.329
9.752	0.329
9.780	0.329
9.808	0.329
9.836	0.329
9.865	0.329
9.893	0.329
9.921	0.329
9.949	0.338
9.978	0.352
10.006	0.351
10.034	0.352
10.062	0.352
10.091	0.352
10.119	0.352
10.147	0.352
10.175	0.352
10.204	0.361
10.232	0.376
10.260	0.376
10.288	0.376
10.317	0.376
10.345	0.376
10.373	0.376
10.401	0.376
10.430	0.385
10.458	0.399
10.486	0.399
10.514	0.399
10.543	0.399
10.571	0.399
10.599	0.399
10.627	0.399
10.656	0.399
10.684	0.399
10.712	0.399
10.740	0.399
10.769	0.399
10.797	0.399
10.825	0.399
10.853	0.399
10.882	0.399
10.910	0.399
10.938	0.399
10.966	0.399
10.995	0.408
11.023	0.423
11.051	0.423
11.079	0.432
11.108	0.447
11.136	0.447
11.164	0.447
11.192	0.456
11.221	0.470
11.249	0.470
11.277	0.470
11.305	0.479
11.334	0.494
11.362	0.494
11.390	0.503
11.418	0.518
11.447	0.518
11.475	0.518
11.503	0.526
11.531	0.541
11.560	0.550
11.588	0.565
11.616	0.574
11.644	0.588
11.673	0.597
11.701	0.612
11.729	0.621
11.757	0.636
11.786	0.645
11.814	0.659
11.842	0.668
11.870	0.683
11.899	0.692
11.927	0.706
11.955	0.715
11.983	0.730
12.012	0.729
12.040	0.740
12.068	0.754
12.096	0.754
12.125	0.754
12.153	0.754
12.181	0.754
12.209	0.754
12.238	0.754
12.266	0.763
12.294	0.777
12.322	0.777
12.351	0.777
12.379	0.777
12.407	0.777
12.436	0.777
12.464	0.786
12.492	0.801
12.520	0.801
12.549	0.801
12.577	0.801
12.605	0.801
12.633	0.810
12.662	0.825
12.690	0.825
12.718	0.825
12.746	0.834
12.775	0.848
12.803	0.848
12.831	0.848
12.859	0.848
12.888	0.857
12.916	0.872
12.944	0.872
12.972	0.872
13.001	0.881
13.029	0.895
13.057	0.895
13.085	0.895
13.114	0.904
13.142	0.919
13.170	0.919
13.198	0.919
13.227	0.928
13.255	0.943
13.283	0.943
13.311	0.943
13.340	0.943
13.368	0.952
13.396	0.966
13.424	0.966
13.453	0.966
13.481	0.966
13.509	0.975
13.537	0.990
13.566	0.990
13.594	0.990
13.622	0.990
13.650	0.999
13.679	1.017
13.707	1.018
13.735	1.023
13.763	1.040
13.792	1.041
13.820	1.047
13.848	1.064
13.876	1.065
13.905	1.071
13.933	1.087
13.961	1.088
13.989	1.094
14.018	1.109
14.046	1.112
14.074	1.118
14.102	1.135
14.131	1.136
14.159	1.141
14.187	1.158
14.215	1.159
14.244	1.165
14.272	1.182
14.300	1.183
14.328	1.183
14.357	1.189
14.385	1.205
14.413	1.206
14.441	1.212
14.470	1.229
14.498	1.230
14.526	1.236
14.554	1.253
14.583	1.254
14.611	1.260
14.639	1.276
14.667	1.277
14.696	1.277
14.724	1.283
14.752	1.300
14.780	1.301
14.809	1.307
14.837	1.323
14.865	1.325
14.893	1.325
14.922	1.330
14.950	1.347
14.978	1.348
15.006	1.354
15.035	1.371
15.063	1.372
15.091	1.372
15.119	1.378
15.148	1.394
15.176	1.395
15.204	1.401
15.232	1.418
15.261	1.419
15.289	1.419
15.317	1.425
15.345	1.442
15.374	1.443
15.402	1.448
15.430	1.465
15.458	1.466
15.487	1.472
15.515	1.489
15.543	1.490
15.571	1.496
15.600	1.512
15.628	1.513
15.656	1.519
15.684	1.536
15.713	1.537
15.741	1.537
15.769	1.543
15.798	1.560
15.826	1.561
15.854	1.567
15.882	1.583
15.911	1.590
15.939	1.607
15.967	1.614
15.995	1.630
16.024	1.629
16.052	1.640
16.080	1.654
16.108	1.661
16.137	1.678
16.165	1.679
16.193	1.686
16.221	1.701
16.250	1.709
16.278	1.725
16.306	1.726
16.334	1.733
16.363	1.755
16.391	1.755
16.419	1.761
16.447	1.778
16.476	1.778
16.504	1.778
16.532	1.785
16.560	1.802
16.589	1.802
16.617	1.809
16.645	1.825
16.673	1.825
16.702	1.825
16.730	1.832
16.758	1.849
16.786	1.849
16.815	1.856
16.843	1.873
16.871	1.873
16.899	1.873
16.928	1.879
16.956	1.896
16.984	1.896
17.012	1.896
17.041	1.903
17.069	1.920
17.097	1.920
17.125	1.927
17.154	1.943
17.182	1.943
17.210	1.943
17.238	1.952
17.267	1.967
17.295	1.967
17.323	1.967
17.351	1.974
17.380	1.991
17.408	1.991
17.436	1.998
17.464	2.014
17.493	2.014
17.521	2.021
17.549	2.034
17.577	2.036
17.606	2.043
17.634	2.062
17.662	2.062
17.690	2.062
17.719	2.068
17.747	2.085
17.775	2.085
17.803	2.085
17.832	2.085
17.860	2.092
17.888	2.109
17.916	2.097
