x	y
2.114	0.362
2.142	0.374
2.171	0.384
2.199	0.406
2.227	0.417
2.255	0.433
2.284	0.456
2.312	0.466
2.340	0.467
2.368	0.477
2.397	0.501
2.425	0.527
2.453	0.550
2.481	0.574
2.510	0.586
2.538	0.598
2.566	0.621
2.595	0.645
2.623	0.668
2.651	0.680
2.679	0.693
2.708	0.716
2.736	0.752
2.764	0.775
2.792	0.798
2.821	0.834
2.849	0.857
2.877	0.881
2.905	0.869
2.934	0.870
2.962	0.848
2.990	0.857
3.018	0.893
3.047	0.915
3.075	0.939
3.103	0.974
3.131	0.998
3.160	1.021
3.188	1.045
3.216	1.058
3.244	1.059
3.273	1.069
3.301	1.092
3.329	1.117
3.357	1.129
3.386	1.142
3.414	1.164
3.442	1.200
3.470	1.223
3.499	1.260
3.527	1.294
3.555	1.331
3.583	1.365
3.612	1.378
3.640	1.389
3.668	1.412
3.696	1.436
3.725	1.471
3.753	1.495
3.781	1.518
3.809	1.542
3.838	1.566
3.866	1.589
3.894	1.613
3.922	1.636
3.951	1.658
3.979	1.681
4.007	1.772
4.035	1.743
4.064	1.764
4.092	1.788
4.120	1.810
4.148	1.826
4.177	1.847
4.205	1.870
4.233	1.885
4.261	1.909
4.290	1.938
4.318	1.965
4.346	1.988
4.374	2.012
4.403	2.033
4.431	2.056
4.459	2.097
4.487	2.118
4.516	2.157
4.544	2.186
4.572	2.213
4.600	2.251
4.629	2.287
4.657	2.316
4.685	2.366
4.713	2.414
4.742	2.437
4.770	2.484
4.798	2.517
4.826	2.543
4.855	2.576
4.883	2.602
4.911	2.640
4.939	2.655
4.968	2.679
4.996	2.705
5.024	2.738
5.052	2.770
5.081	2.797
5.109	2.820
5.137	2.856
5.165	2.891
5.194	2.916
5.222	2.951
5.250	2.986
5.278	3.010
5.307	3.046
5.335	3.082
5.363	3.105
5.391	3.141
5.420	3.176
5.448	3.209
5.476	3.257
5.504	3.314
5.533	3.363
5.561	3.414
5.589	3.463
5.617	3.520
5.646	3.568
5.674	3.610
5.702	3.639
5.730	3.681
5.759	3.710
5.787	3.752
5.815	3.781
5.843	3.823
5.872	3.852
5.900	3.896
5.928	3.932
5.956	3.962
5.985	3.996
6.013	4.042
6.041	4.176
6.070	4.137
6.098	4.188
6.126	4.240
6.154	4.279
6.183	4.323
6.211	4.362
6.239	4.406
6.267	4.446
6.296	4.477
6.324	4.517
6.352	4.551
6.380	4.603
6.409	4.645
6.437	4.693
6.465	4.742
6.493	4.816
6.522	4.874
6.550	4.929
6.578	4.986
6.606	5.037
6.635	5.096
6.663	5.131
6.691	5.158
6.719	5.202
6.748	5.228
6.776	5.261
6.804	5.296
6.832	5.326
6.861	5.388
6.889	5.447
6.917	5.498
6.945	5.558
6.974	5.619
7.002	5.682
7.030	5.742
7.058	5.767
7.087	5.800
7.115	5.888
7.143	5.951
7.171	5.952
7.200	6.023
7.228	6.092
7.256	6.152
7.284	6.223
7.313	6.305
7.341	6.365
7.369	6.423
7.397	6.495
7.426	6.536
7.454	6.584
7.482	6.633
7.510	6.667
7.539	6.719
7.567	6.778
7.595	6.825
7.623	6.871
7.652	6.931
7.680	6.967
7.708	7.050
7.736	7.108
7.765	7.186
7.793	7.304
7.821	7.363
7.849	7.438
7.878	7.521
7.906	7.545
7.934	7.568
7.962	7.627
7.991	7.686
8.019	7.732
8.047	7.932
8.075	7.885
8.104	7.956
8.132	8.027
8.160	8.098
8.188	8.169
8.217	8.240
8.245	8.315
8.273	8.420
8.301	8.488
8.330	8.546
8.358	8.623
8.386	8.707
8.414	8.766
8.443	8.825
8.471	8.883
8.499	8.931
8.527	9.014
8.556	9.073
8.584	9.130
8.612	9.214
8.640	9.285
8.669	9.409
8.697	9.495
8.725	9.545
8.753	9.581
8.782	9.626
8.810	9.717
8.838	9.769
8.866	9.770
8.895	9.805
8.923	9.821
8.951	9.819
8.979	9.832
