x	y
10.989	0.165
11.017	0.168
11.045	0.168
11.074	0.168
11.102	0.168
11.130	0.168
11.158	0.168
11.187	0.168
11.215	0.168
11.243	0.168
11.271	0.180
11.300	0.192
11.328	0.192
11.356	0.192
11.384	0.192
11.413	0.192
11.441	0.192
11.469	0.192
11.497	0.192
11.526	0.192
11.554	0.192
11.582	0.192
11.610	0.192
11.639	0.192
11.667	0.204
11.695	0.215
11.723	0.215
11.752	0.215
11.780	0.215
11.808	0.215
11.836	0.215
11.865	0.215
11.893	0.215
11.921	0.215
11.949	0.215
11.978	0.215
12.006	0.215
12.034	0.215
12.062	0.215
12.091	0.215
12.119	0.215
12.147	0.215
12.175	0.215
12.204	0.215
12.232	0.215
12.260	0.215
12.288	0.215
12.317	0.215
12.345	0.215
12.373	0.215
12.401	0.215
12.430	0.215
12.458	0.215
12.486	0.215
12.514	0.215
12.543	0.215
12.571	0.215
12.599	0.215
12.627	0.215
12.656	0.215
12.684	0.215
12.712	0.215
12.740	0.215
12.769	0.215
12.797	0.215
12.825	0.215
12.853	0.215
12.882	0.227
12.910	0.239
12.938	0.239
12.966	0.239
12.995	0.239
13.023	0.239
13.051	0.239
13.079	0.239
13.108	0.239
13.136	0.239
13.164	0.239
13.192	0.239
13.221	0.251
13.249	0.263
13.277	0.263
13.305	0.263
13.334	0.263
13.362	0.263
13.390	0.263
13.418	0.263
13.447	0.263
13.475	0.263
13.503	0.263
13.531	0.263
13.560	0.263
13.588	0.263
13.616	0.275
13.644	0.286
13.673	0.286
13.701	0.286
13.729	0.286
13.758	0.286
13.786	0.286
13.814	0.286
13.842	0.286
13.871	0.286
13.899	0.286
13.927	0.286
13.955	0.286
13.984	0.286
14.012	0.286
14.040	0.286
14.068	0.286
14.097	0.298
14.125	0.310
14.153	0.310
14.181	0.310
14.210	0.310
14.238	0.310
14.266	0.310
14.294	0.310
14.323	0.310
14.351	0.310
14.379	0.310
14.407	0.310
14.436	0.310
14.464	0.310
14.492	0.310
14.520	0.310
14.549	0.310
14.577	0.310
14.605	0.310
14.633	0.310
14.662	0.310
14.690	0.310
14.718	0.310
14.746	0.310
14.775	0.310
14.803	0.310
14.831	0.298
14.859	0.286
14.888	0.286
14.916	0.286
14.944	0.286
14.972	0.286
15.001	0.286
15.029	0.286
15.057	0.286
15.085	0.286
15.114	0.286
15.142	0.286
15.170	0.286
15.198	0.286
15.227	0.286
15.255	0.286
15.283	0.286
15.311	0.286
15.340	0.286
15.368	0.286
15.396	0.298
15.424	0.310
15.453	0.310
15.481	0.310
15.509	0.310
15.537	0.310
15.566	0.310
15.594	0.322
15.622	0.333
15.650	0.333
15.679	0.333
15.707	0.333
15.735	0.333
15.763	0.333
15.792	0.333
15.820	0.346
15.848	0.357
15.876	0.357
15.905	0.357
15.933	0.357
15.961	0.357
15.989	0.357
16.018	0.369
16.046	0.381
16.074	0.381
16.102	0.381
16.131	0.381
16.159	0.381
16.187	0.381
16.215	0.393
16.244	0.404
16.272	0.404
16.300	0.404
16.328	0.404
16.357	0.416
16.385	0.428
16.413	0.428
16.441	0.428
16.470	0.428
16.498	0.428
16.526	0.440
16.554	0.452
16.583	0.452
16.611	0.452
16.639	0.452
16.667	0.452
16.696	0.464
16.724	0.475
16.752	0.475
16.780	0.475
16.809	0.475
16.837	0.475
16.865	0.475
16.893	0.487
16.922	0.502
16.950	0.502
16.978	0.502
17.006	0.502
17.035	0.502
17.063	0.502
17.091	0.514
17.120	0.526
17.148	0.526
17.176	0.526
17.204	0.526
17.233	0.526
17.261	0.526
17.289	0.538
17.317	0.550
17.346	0.550
17.374	0.550
17.402	0.550
17.430	0.562
17.459	0.585
17.487	0.609
17.515	0.633
17.543	0.656
17.572	0.680
17.600	0.691
17.628	0.703
17.656	0.703
17.685	0.691
17.713	0.680
17.741	0.668
17.769	0.656
17.798	0.633
17.826	0.620
17.854	0.620
