x	y
3.828	0.215
3.856	0.215
3.885	0.227
3.913	0.227
3.941	0.251
3.969	0.256
3.998	0.241
4.026	0.240
4.054	0.238
4.082	0.238
4.111	0.238
4.139	0.249
4.167	0.253
4.195	0.258
4.224	0.258
4.252	0.258
4.280	0.259
4.308	0.271
4.337	0.275
4.365	0.280
4.393	0.281
4.421	0.294
4.450	0.298
4.478	0.305
4.506	0.305
4.534	0.316
4.563	0.322
4.591	0.330
4.619	0.329
4.647	0.336
4.676	0.377
4.704	0.392
4.732	0.392
4.760	0.392
4.789	0.371
4.817	0.382
4.845	0.385
4.873	0.383
4.902	0.393
4.930	0.401
4.958	0.408
4.986	0.409
5.015	0.411
5.043	0.427
5.071	0.461
5.099	0.463
5.128	0.475
5.156	0.392
5.184	0.431
5.212	0.459
5.241	0.461
5.269	0.469
5.297	0.477
5.325	0.486
5.354	0.487
5.382	0.497
5.410	0.504
5.438	0.510
5.467	0.519
5.495	0.526
5.523	0.533
5.551	0.543
5.580	0.549
5.608	0.559
5.636	0.567
5.664	0.575
5.693	0.589
5.721	0.596
5.749	0.611
5.777	0.616
5.806	0.622
5.834	0.632
5.862	0.632
5.890	0.639
5.919	0.662
5.947	0.676
5.975	0.688
6.003	0.688
6.032	0.716
6.060	0.728
6.088	0.739
6.116	0.757
6.145	0.765
6.173	0.784
6.201	0.789
6.229	0.796
6.258	0.786
6.286	0.751
6.314	0.758
6.343	0.782
6.371	0.806
6.399	0.904
6.427	0.926
6.456	0.929
6.484	0.931
6.512	0.943
6.540	0.949
6.569	0.966
6.597	0.975
6.625	0.978
6.653	0.992
6.682	0.996
6.710	1.015
6.738	1.021
6.766	1.026
6.795	1.040
6.823	1.044
6.851	1.063
6.879	1.070
6.908	1.085
6.936	1.094
6.964	1.108
6.992	1.116
7.021	1.132
7.049	1.139
7.077	1.142
7.105	1.139
7.134	1.120
7.162	1.113
7.190	1.136
7.218	1.148
7.247	1.225
7.275	1.256
7.303	1.273
7.331	1.277
7.360	1.296
7.388	1.307
7.416	1.324
7.444	1.331
7.473	1.339
7.501	1.335
7.529	1.309
7.557	1.313
7.586	1.325
7.614	1.349
7.642	1.448
7.670	1.463
7.699	1.468
7.727	1.486
7.755	1.493
7.783	1.512
7.812	1.529
7.840	1.541
7.868	1.559
7.896	1.577
7.925	1.588
7.953	1.608
7.981	1.614
8.009	1.592
8.038	1.628
8.066	1.661
8.094	1.681
8.122	1.689
8.151	1.705
8.179	1.723
8.207	1.737
8.235	1.754
8.264	1.770
8.292	1.786
8.320	1.812
8.348	1.825
8.377	1.870
8.405	1.888
8.433	1.902
8.461	1.911
8.490	1.905
8.518	1.902
8.546	1.910
8.574	1.917
8.603	1.933
8.631	1.938
8.659	1.952
8.687	1.960
8.716	1.969
8.744	1.987
8.772	2.008
8.800	2.026
8.829	2.034
8.857	2.039
8.885	2.053
8.913	2.065
8.942	2.070
8.970	2.085
8.998	2.100
9.026	2.111
9.055	2.128
9.083	2.157
9.111	2.171
9.139	2.190
9.168	2.204
9.196	2.219
9.224	2.226
9.252	2.236
9.281	2.255
9.309	2.268
9.337	2.287
9.365	2.302
9.394	2.324
9.422	2.339
9.450	2.358
9.478	2.374
9.507	2.388
9.535	2.404
9.563	2.455
9.591	2.494
9.620	2.506
9.648	2.530
9.676	2.534
9.705	2.535
9.733	2.545
9.761	2.560
9.789	2.582
9.818	2.605
9.846	2.620
9.874	2.638
9.902	2.649
9.931	2.659
9.959	2.694
9.987	2.719
10.015	2.730
10.044	2.742
10.072	2.799
10.100	2.808
10.128	2.816
10.157	2.830
10.185	2.849
10.213	2.871
10.241	2.888
10.270	2.902
10.298	2.911
10.326	2.925
10.354	2.943
10.383	2.958
10.411	2.975
10.439	2.991
10.467	3.007
10.496	3.022
10.524	3.039
10.552	3.052
10.580	3.069
10.609	3.087
10.637	3.104
10.665	3.122
10.693	3.141
10.722	3.157
10.750	3.169
10.778	3.180
10.806	3.215
10.835	3.238
10.863	3.309
10.891	3.343
10.919	3.366
10.948	3.381
10.976	3.404
11.004	3.434
11.032	3.452
11.061	3.461
11.089	3.462
11.117	3.447
11.145	3.510
11.174	3.545
11.202	3.569
11.230	3.631
11.258	3.644
11.287	3.658
11.315	3.681
11.343	3.717
11.371	3.735
11.400	3.749
11.428	3.770
11.456	3.791
11.484	3.813
11.513	3.837
11.541	3.854
11.569	3.877
11.597	3.903
11.626	3.924
11.654	3.943
11.682	3.967
11.710	3.988
11.739	4.006
11.767	4.020
11.795	4.038
11.823	4.056
11.852	4.079
11.880	4.096
11.908	4.104
11.936	4.127
11.965	4.154
11.993	4.228
12.021	4.273
12.049	4.272
12.078	4.293
12.106	4.326
12.134	4.347
12.162	4.376
12.191	4.400
12.219	4.411
12.247	4.417
12.275	4.429
12.304	4.466
12.332	4.555
12.360	4.619
12.388	4.633
12.417	4.656
12.445	4.688
12.473	4.711
12.501	4.733
12.530	4.767
12.558	4.800
12.586	4.823
12.614	4.846
12.643	4.878
12.671	4.904
12.699	4.931
12.727	4.960
12.756	4.989
12.784	5.014
12.812	5.036
12.840	5.060
12.869	5.081
12.897	5.103
12.925	5.126
12.953	5.176
12.982	5.279
13.010	5.323
13.038	5.346
13.067	5.374
13.095	5.405
13.123	5.456
13.151	5.600
13.180	5.622
13.208	5.608
13.236	5.627
13.264	5.641
13.293	5.660
13.321	5.687
13.349	5.719
13.377	5.752
13.406	5.788
13.434	5.817
13.462	5.841
13.490	5.877
13.519	5.904
13.547	5.926
13.575	5.961
13.603	5.991
13.632	6.016
13.660	6.046
13.688	6.068
13.716	6.087
13.745	6.189
13.773	6.275
13.801	6.318
13.829	6.335
13.858	6.360
13.886	6.391
13.914	6.450
13.942	6.537
13.971	6.571
13.999	6.606
14.027	6.653
14.055	6.675
14.084	6.700
14.112	6.737
14.140	6.765
14.168	6.815
14.197	6.873
14.225	6.901
14.253	6.928
14.281	6.963
14.310	7.002
14.338	7.040
14.366	7.057
14.394	7.085
14.423	7.158
14.451	7.191
14.479	7.228
14.507	7.237
14.536	7.248
14.564	7.261
14.592	7.274
14.620	7.298
14.649	7.312
14.677	7.337
14.705	7.444
14.733	7.527
14.762	7.535
14.790	7.505
14.818	7.511
14.846	7.519
14.875	7.553
14.903	7.588
14.931	7.613
14.959	7.620
