x	y
6.256	0.396
6.369	0.432
6.425	0.369
6.510	0.384
6.538	0.455
6.566	0.408
6.849	0.479
6.877	0.503
6.990	0.491
7.075	0.514
7.188	0.503
7.301	0.550
7.329	0.549
7.358	0.526
7.471	0.597
7.499	0.550
7.584	0.621
7.612	0.573
7.668	0.644
7.697	0.597
7.781	0.668
7.810	0.621
7.923	0.668
8.036	0.680
8.092	0.715
8.120	0.668
8.233	0.715
8.262	0.737
8.318	0.762
8.346	0.747
8.459	0.799
8.488	0.786
8.516	0.833
8.544	0.786
8.572	0.857
8.657	0.810
8.685	0.880
8.714	0.833
8.742	0.904
8.770	0.907
8.798	0.880
8.827	0.951
8.855	0.904
8.883	0.975
8.911	0.928
9.024	0.998
9.053	0.983
9.166	0.998
9.194	0.975
9.222	1.022
9.250	0.975
9.307	1.013
9.363	1.022
9.392	1.044
9.420	1.069
9.448	1.022
9.476	1.093
9.505	1.077
9.589	1.164
9.618	1.160
9.646	1.193
9.674	1.164
9.702	1.235
9.731	1.237
9.759	1.258
9.844	1.258
9.872	1.211
9.985	1.282
10.013	1.282
10.041	1.235
10.211	1.306
10.239	1.290
10.352	1.365
10.381	1.353
10.409	1.400
10.437	1.403
10.465	1.376
10.578	1.485
10.607	1.471
10.635	1.509
10.663	1.478
10.691	1.534
10.720	1.536
10.804	1.589
10.833	1.565
10.861	1.602
10.889	1.573
10.917	1.628
10.946	1.596
10.974	1.652
11.002	1.620
11.030	1.636
11.059	1.674
11.087	1.643
11.115	1.699
11.143	1.667
11.172	1.723
11.200	1.691
11.228	1.747
11.256	1.714
11.285	1.770
11.313	1.738
11.341	1.794
11.369	1.761
11.398	1.817
11.426	1.785
11.454	1.801
11.482	1.821
11.595	1.858
11.624	1.886
11.652	1.856
11.680	1.872
11.708	1.874
11.821	1.951
11.850	1.980
11.878	1.997
11.906	1.968
11.934	1.990
12.047	2.100
12.076	2.119
12.104	2.086
12.132	2.149
12.160	2.149
12.189	2.119
12.217	2.148
12.245	2.110
12.273	2.173
12.302	2.133
12.330	2.156
12.358	2.195
12.386	2.157
12.415	2.179
12.443	2.219
12.471	2.216
12.499	2.238
12.528	2.241
12.556	2.240
12.584	2.266
12.612	2.259
12.641	2.243
12.669	2.266
12.782	2.319
12.810	2.310
12.838	2.322
12.867	2.354
12.895	2.364
13.008	2.438
13.036	2.439
13.064	2.439
13.093	2.466
13.121	2.463
13.206	2.557
13.234	2.555
13.262	2.580
13.290	2.582
13.319	2.614
13.347	2.638
13.375	2.652
13.403	2.653
13.432	2.685
13.460	2.709
13.488	2.722
13.516	2.724
13.545	2.746
13.573	2.747
13.601	2.770
13.629	2.771
13.658	2.793
13.686	2.794
13.714	2.817
13.743	2.818
13.771	2.841
13.799	2.842
13.827	2.864
13.856	2.865
13.884	2.883
13.997	2.923
14.025	2.931
14.053	2.960
14.082	2.960
14.110	2.978
14.223	3.053
14.251	3.053
14.279	3.042
14.308	3.080
14.336	3.076
14.449	3.148
14.477	3.148
14.505	3.136
14.534	3.163
14.562	3.198
14.590	3.183
14.618	3.222
14.647	3.207
14.675	3.234
14.703	3.269
14.731	3.254
14.760	3.293
14.788	3.277
14.816	3.316
14.844	3.301
14.873	3.340
14.901	3.325
14.929	3.352
14.957	3.387
14.986	3.372
15.014	3.411
15.042	3.395
15.070	3.434
15.099	3.431
15.183	3.549
15.212	3.538
15.240	3.565
15.268	3.588
15.296	3.608
15.409	3.678
15.438	3.689
15.466	3.680
15.494	3.719
15.522	3.714
15.635	3.780
15.664	3.780
15.692	3.786
15.720	3.789
15.748	3.806
15.777	3.808
15.805	3.832
15.833	3.851
15.861	3.871
15.890	3.880
15.918	3.898
15.946	3.921
15.974	3.930
16.003	3.949
16.031	3.963
16.059	3.975
16.087	3.993
16.116	4.013
16.144	4.042
16.172	4.057
16.200	4.078
16.229	4.111
16.313	4.216
16.342	4.238
16.370	4.234
16.398	4.253
16.426	4.265
16.568	4.401
16.596	4.399
16.624	4.423
16.652	4.427
16.765	4.523
16.794	4.545
16.822	4.536
16.850	4.564
16.878	4.571
16.907	4.575
16.935	4.612
16.963	4.618
16.991	4.641
17.020	4.664
17.048	4.667
17.076	4.688
17.104	4.712
17.133	4.716
17.161	4.771
17.189	4.772
17.218	4.798
17.246	4.843
17.274	4.864
17.302	4.882
17.359	5.067
17.387	5.108
17.415	5.108
17.528	5.209
17.557	5.249
17.585	5.194
17.698	5.335
17.726	5.367
17.754	5.344
17.783	5.363
17.811	5.367
17.839	5.391
17.867	5.425
17.896	5.419
17.924	5.486
17.952	5.472
